Game,Date,A,B,C,D,E,F
2460,16/03/2013,17,25,29,30,33,37
2461,19/03/2013,1,8,9,18,19,20
2462,23/03/2013,6,12,13,24,27,29
2463,27/03/2013,3,4,7,21,33,37
2464,30/03/2013,8,10,12,15,19,30
2465,02/04/2013,1,8,12,19,30,35
2466,06/04/2013,8,12,13,27,28,34
2467,09/04/2013,11,20,21,22,25,36
2468,13/04/2013,1,11,15,24,27,34
2469,17/04/2013,1,26,28,32,33,35
2470,20/04/2013,18,20,25,27,32,36
2471,23/04/2013,2,7,12,19,27,37
2472,27/04/2013,12,13,28,33,35,37
2473,30/04/2013,1,2,3,10,16,29
2474,04/05/2013,1,4,6,9,25,35
2475,07/05/2013,10,19,20,24,28,33
2476,11/05/2013,7,20,26,33,34,35
2477,15/05/2013,3,7,15,19,24,33
2478,18/05/2013,2,4,24,25,32,34
2479,21/05/2013,8,10,14,17,20,34
2480,25/05/2013,3,9,21,26,29,37
2481,28/05/2013,2,11,16,18,26,36
2482,01/06/2013,12,19,21,23,26,35
2483,04/06/2013,13,17,21,27,29,31
2484,08/06/2013,4,6,17,19,21,36
2485,11/06/2013,3,21,25,26,36,37
2486,15/06/2013,11,15,21,29,31,36
2487,18/06/2013,3,9,10,22,28,33
2488,22/06/2013,3,6,7,10,16,30
2489,25/06/2013,4,21,22,23,27,35
2490,29/06/2013,8,10,17,18,35,37
2491,02/07/2013,4,10,15,24,28,29
2492,06/07/2013,4,19,27,30,31,35
2493,09/07/2013,7,16,19,21,31,36
2494,13/07/2013,12,18,19,28,29,34
2495,16/07/2013,4,11,12,15,30,33
2496,20/07/2013,3,7,8,24,34,36
2497,23/07/2013,8,13,23,26,27,29
2498,27/07/2013,8,9,11,16,31,34
2499,30/07/2013,13,14,26,29,31,35
2500,03/08/2013,5,8,9,17,24,32
2501,06/08/2013,2,3,4,27,30,32
2502,10/08/2013,1,3,18,19,35,37
2503,13/08/2013,1,5,14,19,26,28
2504,17/08/2013,5,9,17,19,33,35
2505,20/08/2013,8,13,16,17,29,37
2506,24/08/2013,6,10,11,15,19,24
2507,27/08/2013,4,16,17,19,30,34
2508,31/08/2013,7,12,16,22,24,25
2509,03/09/2013,8,14,27,29,33,37
2510,08/09/2013,2,6,16,28,35,37
2511,10/09/2013,3,13,24,27,33,35
2512,15/09/2013,1,3,4,6,12,13
2513,17/09/2013,17,20,26,28,30,33
2514,21/09/2013,3,8,17,19,24,33
2515,24/09/2013,11,21,22,23,28,37
2516,28/09/2013,3,9,14,20,34,35
2517,01/10/2013,10,11,19,21,23,29
2518,05/10/2013,2,4,12,27,34,37
2519,08/10/2013,3,7,13,17,18,28
2520,12/10/2013,3,8,16,19,25,27
2521,15/10/2013,5,8,10,20,34,37
2522,19/10/2013,6,13,15,22,23,37
2523,22/10/2013,11,17,21,23,26,27
2524,26/10/2013,1,2,7,12,29,33
2525,29/10/2013,1,7,10,21,28,30
2526,02/11/2013,2,8,12,19,26,27
2527,05/11/2013,1,10,12,19,35,36
2528,09/11/2013,3,4,24,27,31,36
2529,12/11/2013,14,22,24,33,35,36
2530,16/11/2013,7,19,22,28,30,33
2531,19/11/2013,4,6,10,17,28,32
2532,23/11/2013,1,9,17,29,30,37
2533,26/11/2013,11,14,19,21,26,33
2534,30/11/2013,11,21,29,33,35,37
